language,glottocode,feature,latitude,longitude
Brahui,brah1256,No applicative construction,28.5,67
Burmese,nucl1310,No applicative construction,21,96
Canela-Krahô,cane1242,No applicative construction,-7,-45
Central Alaskan Yupik,cent2127,Benefactive and other objects; both bases,59.5,-160
Central Moroccan Berber,cent2194,No applicative construction,33,-5
Central Pomo,cent2138,No applicative construction,39,-123.333333333
Chukchi,chuk1273,No applicative construction,67,-173
Daga,daga1275,No applicative construction,-10,149.333333333
Eastern Armenian,nucl1235,No applicative construction,40,45
Eastern Oromo,east2652,No applicative construction,9,42
Eastern Panjabi,panj1256,No applicative construction,31,74
Egyptian Arabic,egyp1253,No applicative construction,30,31
English,stan1293,No applicative construction,52,0
Evenki,even1259,No applicative construction,56,125
Ewe,ewee1241,No applicative construction,6.33333333333,0.416666666667
Finnish,finn1318,No applicative construction,62,25
French,stan1290,No applicative construction,48,2
German,stan1295,No applicative construction,52,10
Godoberi,ghod1238,No applicative construction,42.6666666667,46.0833333333
Gooniyandi,goon1238,No applicative construction,-18.3333333333,126.333333333
Halh Mongolian,halh1238,No applicative construction,47,105
Hindi,hind1269,No applicative construction,25,77
Hixkaryána,hixk1239,No applicative construction,-1,-59
Hua Miao,huam1250,No applicative construction,28,105
Hungarian,hung1274,Non-benefactive object only; both bases,47,20
Hunzib,hunz1247,No applicative construction,42.1666666667,46.25
Icelandic,icel1247,No applicative construction,65,-17
Imbabura Highland Quichua,imba1240,No applicative construction,0.333333333333,-78
Ingush,ingu1240,No applicative construction,43.1666666667,45.0833333333
Iraqw,iraq1241,No applicative construction,-4,35.5
Japanese,nucl1643,No applicative construction,37,140
Jingulu,djin1251,No applicative construction,-17.75,134
Kashmiri,kash1277,No applicative construction,34,76
Kayardild,kaya1319,No applicative construction,-17.05,139.5
Ket,kett1243,No applicative construction,64,87
Khakas,khak1248,No applicative construction,53,90
Khasi,khas1269,No applicative construction,25.5,92
Kilivila,kili1267,No applicative construction,-8.5,151.083333333
Kiowa,kiow1266,No applicative construction,37,-99
